UniprotAccession	Organism	Kingdom	ProteinLength	TMHelixFirst90
Q9H2S6	Homo sapiens	Metazoa	317	True
P42695	Homo sapiens	Metazoa	1498	False
O88845	Mus musculus	Metazoa	662	False
P82926	Bos taurus	Metazoa	106	False
Q9NX76	Homo sapiens	Metazoa	183	True
Q42687	Chlamydomonas reinhardtii	Viridiplantae	219	False
Q12906	Homo sapiens	Metazoa	894	False
Q9D115	Mus musculus	Metazoa	76	False
P02381	Saccharomyces cerevisiae	Fungi	398	False
Q22002	Caenorhabditis elegans	Metazoa	582	False
Q9SZ63	Arabidopsis thaliana	Viridiplantae	309	False
Q9HDZ3	Schizosaccharomyces pombe	Fungi	182	False
Q6X7J9	Arabidopsis thaliana	Viridiplantae	251	False
Q9BQA5	Homo sapiens	Metazoa	517	False
Q9Y508	Homo sapiens	Metazoa	228	False
P12524	Homo sapiens	Metazoa	364	False
Q550D5	Dictyostelium discoideum	Other	872	False
Q96LD4	Homo sapiens	Metazoa	638	False
Q9VVV9	Drosophila melanogaster	Metazoa	928	False
Q922B6	Mus musculus	Metazoa	594	False
P26434	Rattus norvegicus	Metazoa	717	False
P51959	Homo sapiens	Metazoa	295	False
A4GSN8	Arabidopsis thaliana	Viridiplantae	2093	False
P39979	Saccharomyces cerevisiae	Fungi	161	False
Q9VHI4	Drosophila melanogaster	Metazoa	85	False
Q12418	Saccharomyces cerevisiae	Fungi	502	False
Q9W6G7	Xenopus laevis	Metazoa	463	False
Q9Y7X6	Schizosaccharomyces pombe	Fungi	684	False
E7F568	Danio rerio	Metazoa	1343	False
C0HM83	Homo sapiens	Metazoa	58	False
Q03327	Saccharomyces cerevisiae	Fungi	502	False
Q08024	Mus musculus	Metazoa	187	False
P32626	Saccharomyces cerevisiae	Fungi	227	False
O94782	Homo sapiens	Metazoa	785	False
P01880	Homo sapiens	Metazoa	430	False
Q9H790	Homo sapiens	Metazoa	373	False
Q9BSW2	Homo sapiens	Metazoa	731	False
P41252	Homo sapiens	Metazoa	1262	False
Q3EBC8	Arabidopsis thaliana	Viridiplantae	1388	False
P38828	Saccharomyces cerevisiae	Fungi	187	False
Q8NCN2	Homo sapiens	Metazoa	500	False
Q84TH4	Arabidopsis thaliana	Viridiplantae	382	False
Q04839	Saccharomyces cerevisiae	Fungi	188	False
Q9NVV9	Homo sapiens	Metazoa	213	False
O76616	Caenorhabditis elegans	Metazoa	307	False
P22136	Saccharomyces cerevisiae	Fungi	580	False
Q9HAV4	Homo sapiens	Metazoa	1204	False
Q93009	Homo sapiens	Metazoa	1102	False
P39707	Saccharomyces cerevisiae	Fungi	275	False
Q7Z2G1	Homo sapiens	Metazoa	153	False
Q8NEY3	Homo sapiens	Metazoa	305	False
Q09728	Schizosaccharomyces pombe	Fungi	411	False
Q9W0K4	Drosophila melanogaster	Metazoa	1067	False
Q08702	Saccharomyces cerevisiae	Fungi	217	False
Q91WW3	Mus musculus	Metazoa	302	True
P47910	Spinacia oleracea	Viridiplantae	101	False
O60097	Schizosaccharomyces pombe	Fungi	526	False
Q9SG11	Arabidopsis thaliana	Viridiplantae	352	False
Q8NE79	Homo sapiens	Metazoa	360	True
Q9LTB0	Arabidopsis thaliana	Viridiplantae	752	False
Q9BVC5	Homo sapiens	Metazoa	232	False
Q8ISM1	Giardia intestinalis	Other	755	False
Q3ECR7	Arabidopsis thaliana	Viridiplantae	62	True
P92204	Drosophila melanogaster	Metazoa	280	False
P35658	Homo sapiens	Metazoa	2090	False
O70337	Mus musculus	Metazoa	150	False
Q9FNQ0	Arabidopsis thaliana	Viridiplantae	625	False
P53327	Saccharomyces cerevisiae	Fungi	1967	False
P38911	Saccharomyces cerevisiae	Fungi	411	False
Q9NXE8	Homo sapiens	Metazoa	425	False
P62249	Homo sapiens	Metazoa	146	False
P47002	Saccharomyces cerevisiae	Fungi	699	False
Q9Y6I9	Homo sapiens	Metazoa	313	True
Q9UTH0	Schizosaccharomyces pombe	Fungi	1162	False
Q8L6Z4	Arabidopsis thaliana	Viridiplantae	430	False
Q9Y2F5	Homo sapiens	Metazoa	2266	False
Q8TBZ0	Homo sapiens	Metazoa	833	False
P07269	Saccharomyces cerevisiae	Fungi	559	False
P53569	Mus musculus	Metazoa	1052	False
Q5XKL5	Homo sapiens	Metazoa	1792	False
Q9FVU9	Arabidopsis thaliana	Viridiplantae	358	False
Q20733	Caenorhabditis elegans	Metazoa	900	False
P25379	Saccharomyces cerevisiae	Fungi	360	False
O04249	Arabidopsis thaliana	Viridiplantae	513	True
Q06364	Daucus carota	Viridiplantae	489	False
Q9NPJ1	Homo sapiens	Metazoa	570	False
Q14657	Homo sapiens	Metazoa	143	False
Q9FI46	Arabidopsis thaliana	Viridiplantae	269	True
Q01560	Saccharomyces cerevisiae	Fungi	414	False
Q9VHB0	Drosophila melanogaster	Metazoa	874	False
Q9NH52	Caenorhabditis elegans	Metazoa	898	False
