UniprotAccession	Organism	Kingdom	ProteinLength	SPPosition	label	TMHelixFirst90	Fold	Set
O43155	Homo sapiens	Metazoa	660	35.0	positive	N/A	ab	train
O43866	Homo sapiens	Metazoa	347	19.0	positive	N/A	ae	train
O75629	Homo sapiens	Metazoa	220	31.0	positive	N/A	ad	train
O94985	Homo sapiens	Metazoa	981	28.0	positive	N/A	ac	train
P01579	Homo sapiens	Metazoa	166	23.0	positive	N/A	ac	train
P02649	Homo sapiens	Metazoa	317	18.0	positive	N/A	ad	train
P02743	Homo sapiens	Metazoa	223	19.0	positive	N/A	aa	train
P02774	Homo sapiens	Metazoa	474	16.0	positive	N/A	ae	train
P04062	Homo sapiens	Metazoa	536	39.0	positive	N/A	aa	train
P04275	Homo sapiens	Metazoa	2813	22.0	positive	N/A	aa	bench
P04844	Homo sapiens	Metazoa	631	22.0	positive	N/A	aa	bench
P06028	Homo sapiens	Metazoa	91	19.0	positive	N/A	ae	train
P06865	Homo sapiens	Metazoa	529	22.0	positive	N/A	ad	train
P07359	Homo sapiens	Metazoa	652	16.0	positive	N/A	ad	bench
P13671	Homo sapiens	Metazoa	934	21.0	positive	N/A	ae	bench
P13686	Homo sapiens	Metazoa	325	21.0	positive	N/A	ae	train
P16112	Homo sapiens	Metazoa	2530	16.0	positive	N/A	ad	train
P16150	Homo sapiens	Metazoa	400	19.0	positive	N/A	ad	train
P18510	Homo sapiens	Metazoa	177	25.0	positive	N/A	ac	train
P19438	Homo sapiens	Metazoa	455	29.0	positive	N/A	ae	bench
P21128	Homo sapiens	Metazoa	410	18.0	positive	N/A	ab	train
P28039	Homo sapiens	Metazoa	575	23.0	positive	N/A	ae	train
P28335	Homo sapiens	Metazoa	458	32.0	positive	N/A	ab	train
P36897	Homo sapiens	Metazoa	503	33.0	positive	N/A	ab	train
P40259	Homo sapiens	Metazoa	229	28.0	positive	N/A	aa	train
P47710	Homo sapiens	Metazoa	185	15.0	positive	N/A	ab	train
P49767	Homo sapiens	Metazoa	419	31.0	positive	N/A	ab	train
P50895	Homo sapiens	Metazoa	628	31.0	positive	N/A	ad	train
P52798	Homo sapiens	Metazoa	201	25.0	positive	N/A	ae	train
P55000	Homo sapiens	Metazoa	103	22.0	positive	N/A	ac	train
P80188	Homo sapiens	Metazoa	198	20.0	positive	N/A	ab	bench
P98066	Homo sapiens	Metazoa	277	17.0	positive	N/A	ac	train
Q01151	Homo sapiens	Metazoa	205	19.0	positive	N/A	ab	bench
Q02083	Homo sapiens	Metazoa	359	28.0	positive	N/A	ae	train
Q02747	Homo sapiens	Metazoa	115	21.0	positive	N/A	aa	train
Q03405	Homo sapiens	Metazoa	335	22.0	positive	N/A	ab	bench
Q13162	Homo sapiens	Metazoa	271	37.0	positive	N/A	ad	bench
Q14392	Homo sapiens	Metazoa	662	19.0	positive	N/A	ae	train
Q14802	Homo sapiens	Metazoa	87	20.0	positive	N/A	ac	bench
Q16568	Homo sapiens	Metazoa	116	27.0	positive	N/A	aa	train
Q16627	Homo sapiens	Metazoa	93	19.0	positive	N/A	ad	train
Q5ZPR3	Homo sapiens	Metazoa	534	28.0	positive	N/A	ae	train
Q6UW88	Homo sapiens	Metazoa	154	22.0	positive	N/A	ac	train
Q6UX27	Homo sapiens	Metazoa	236	16.0	positive	N/A	ad	train
Q6UXD5	Homo sapiens	Metazoa	910	27.0	positive	N/A	ac	train
Q6WN34	Homo sapiens	Metazoa	429	25.0	positive	N/A	aa	train
Q86WA6	Homo sapiens	Metazoa	291	37.0	positive	N/A	ae	train
Q86YD3	Homo sapiens	Metazoa	366	26.0	positive	N/A	ae	train
Q86YL7	Homo sapiens	Metazoa	162	22.0	positive	N/A	ad	train
Q8N126	Homo sapiens	Metazoa	398	24.0	positive	N/A	ad	bench
Q8NBI3	Homo sapiens	Metazoa	349	25.0	positive	N/A	ac	train
Q92563	Homo sapiens	Metazoa	424	22.0	positive	N/A	aa	train
Q969N2	Homo sapiens	Metazoa	578	21.0	positive	N/A	ab	train
Q96FE7	Homo sapiens	Metazoa	263	21.0	positive	N/A	ae	train
Q9BQ51	Homo sapiens	Metazoa	273	19.0	positive	N/A	ae	bench
Q9GZX6	Homo sapiens	Metazoa	179	33.0	positive	N/A	ad	train
Q9H293	Homo sapiens	Metazoa	177	32.0	positive	N/A	ab	train
Q9UBP4	Homo sapiens	Metazoa	350	21.0	positive	N/A	ad	train
Q9UK23	Homo sapiens	Metazoa	515	25.0	positive	N/A	ad	train
Q9Y2I2	Homo sapiens	Metazoa	539	28.0	positive	N/A	ac	train
Q9Y5Q6	Homo sapiens	Metazoa	135	22.0	positive	N/A	aa	bench
Q9Y6C2	Homo sapiens	Metazoa	1016	21.0	positive	N/A	ac	bench
O14625	Homo sapiens	Metazoa	94	21.0	positive	N/A	ae	train
O14773	Homo sapiens	Metazoa	563	19.0	positive	N/A	aa	train
O15455	Homo sapiens	Metazoa	904	23.0	positive	N/A	aa	train
O60602	Homo sapiens	Metazoa	858	20.0	positive	N/A	ab	bench
O60931	Homo sapiens	Metazoa	367	22.0	positive	N/A	ac	train
P01903	Homo sapiens	Metazoa	254	25.0	positive	N/A	ad	bench
P02462	Homo sapiens	Metazoa	1669	27.0	positive	N/A	ac	train
P03971	Homo sapiens	Metazoa	560	24.0	positive	N/A	ac	train
P05067	Homo sapiens	Metazoa	770	17.0	positive	N/A	ad	train
P05164	Homo sapiens	Metazoa	745	48.0	positive	N/A	ac	bench
P08833	Homo sapiens	Metazoa	259	25.0	positive	N/A	ac	train
P12273	Homo sapiens	Metazoa	146	28.0	positive	N/A	ae	train
P12318	Homo sapiens	Metazoa	317	33.0	positive	N/A	ae	bench
P13385	Homo sapiens	Metazoa	188	30.0	positive	N/A	ad	train
P14384	Homo sapiens	Metazoa	443	17.0	positive	N/A	ab	train
P14770	Homo sapiens	Metazoa	177	16.0	positive	N/A	ab	train
P15289	Homo sapiens	Metazoa	507	18.0	positive	N/A	aa	train
P15309	Homo sapiens	Metazoa	386	32.0	positive	N/A	ad	train
P19801	Homo sapiens	Metazoa	751	19.0	positive	N/A	ae	train
P19876	Homo sapiens	Metazoa	107	34.0	positive	N/A	ac	train
P20160	Homo sapiens	Metazoa	251	19.0	positive	N/A	ad	train
P20774	Homo sapiens	Metazoa	298	20.0	positive	N/A	ab	train
P26842	Homo sapiens	Metazoa	260	19.0	positive	N/A	aa	train
P31358	Homo sapiens	Metazoa	61	24.0	positive	N/A	ac	train
P33681	Homo sapiens	Metazoa	288	34.0	positive	N/A	ab	train
P36980	Homo sapiens	Metazoa	270	18.0	positive	N/A	ad	bench
P41271	Homo sapiens	Metazoa	181	16.0	positive	N/A	ab	train
P43307	Homo sapiens	Metazoa	286	18.0	positive	N/A	ac	train
P51654	Homo sapiens	Metazoa	580	24.0	positive	N/A	ad	train
P55058	Homo sapiens	Metazoa	493	17.0	positive	N/A	aa	train
P59665	Homo sapiens	Metazoa	94	19.0	positive	N/A	aa	train
Q02809	Homo sapiens	Metazoa	727	18.0	positive	N/A	ae	train
Q13007	Homo sapiens	Metazoa	206	51.0	positive	N/A	aa	train
Q13421	Homo sapiens	Metazoa	630	36.0	positive	N/A	ae	train
Q13433	Homo sapiens	Metazoa	755	28.0	positive	N/A	ae	bench
Q15399	Homo sapiens	Metazoa	786	24.0	positive	N/A	ac	train
Q6UWI2	Homo sapiens	Metazoa	310	20.0	positive	N/A	ae	bench
Q6UWL6	Homo sapiens	Metazoa	708	20.0	positive	N/A	ae	train
Q6UWN5	Homo sapiens	Metazoa	251	25.0	positive	N/A	ab	train
Q6X4U4	Homo sapiens	Metazoa	206	23.0	positive	N/A	ae	train
Q6ZSA7	Homo sapiens	Metazoa	298	34.0	positive	N/A	ad	train
Q86Y34	Homo sapiens	Metazoa	549	20.0	positive	N/A	ab	train
Q8NAC3	Homo sapiens	Metazoa	791	20.0	positive	N/A	ae	bench
Q8NBK3	Homo sapiens	Metazoa	374	33.0	positive	N/A	ab	bench
Q8WWA0	Homo sapiens	Metazoa	313	18.0	positive	N/A	aa	train
Q969J5	Homo sapiens	Metazoa	263	21.0	positive	N/A	ae	bench
Q96DR8	Homo sapiens	Metazoa	90	20.0	positive	N/A	ad	train
Q96DU3	Homo sapiens	Metazoa	332	21.0	positive	N/A	ab	bench
Q99944	Homo sapiens	Metazoa	293	25.0	positive	N/A	ab	train
Q9BZW8	Homo sapiens	Metazoa	370	21.0	positive	N/A	aa	bench
Q9GZZ8	Homo sapiens	Metazoa	138	19.0	positive	N/A	ac	train
Q9H1M4	Homo sapiens	Metazoa	99	20.0	positive	N/A	ad	train
Q9H7M9	Homo sapiens	Metazoa	311	32.0	positive	N/A	ae	train
Q9NR61	Homo sapiens	Metazoa	685	26.0	positive	N/A	ac	train
Q9NZV1	Homo sapiens	Metazoa	1036	34.0	positive	N/A	ac	train
Q9UBT3	Homo sapiens	Metazoa	224	18.0	positive	N/A	ad	train
Q9Y4X3	Homo sapiens	Metazoa	112	24.0	positive	N/A	ad	train
O43852	Homo sapiens	Metazoa	315	19.0	positive	N/A	ae	train
O95813	Homo sapiens	Metazoa	267	17.0	positive	N/A	ae	train
O95866	Homo sapiens	Metazoa	241	17.0	positive	N/A	ae	train
P00533	Homo sapiens	Metazoa	1210	24.0	positive	N/A	ab	train
P01189	Homo sapiens	Metazoa	267	26.0	positive	N/A	ac	train
P01833	Homo sapiens	Metazoa	764	18.0	positive	N/A	ac	train
P02652	Homo sapiens	Metazoa	100	18.0	positive	N/A	aa	train
P02790	Homo sapiens	Metazoa	462	23.0	positive	N/A	aa	bench
P04217	Homo sapiens	Metazoa	495	21.0	positive	N/A	ad	train
P05090	Homo sapiens	Metazoa	189	20.0	positive	N/A	ae	train
P06681	Homo sapiens	Metazoa	752	20.0	positive	N/A	ab	train
P06727	Homo sapiens	Metazoa	396	20.0	positive	N/A	aa	train
P08236	Homo sapiens	Metazoa	651	22.0	positive	N/A	aa	train
P08603	Homo sapiens	Metazoa	1231	18.0	positive	N/A	ad	train
P09619	Homo sapiens	Metazoa	1106	32.0	positive	N/A	ad	bench
P13598	Homo sapiens	Metazoa	275	24.0	positive	N/A	ae	train
P13612	Homo sapiens	Metazoa	1032	33.0	positive	N/A	ad	bench
P13725	Homo sapiens	Metazoa	252	25.0	positive	N/A	aa	bench
P13727	Homo sapiens	Metazoa	222	16.0	positive	N/A	ac	train
P15516	Homo sapiens	Metazoa	51	19.0	positive	N/A	aa	train
P17948	Homo sapiens	Metazoa	1338	26.0	positive	N/A	ab	train
P22301	Homo sapiens	Metazoa	178	18.0	positive	N/A	aa	train
P22362	Homo sapiens	Metazoa	96	23.0	positive	N/A	ab	bench
P23142	Homo sapiens	Metazoa	703	29.0	positive	N/A	ab	train
P23515	Homo sapiens	Metazoa	440	24.0	positive	N/A	ab	train
P25942	Homo sapiens	Metazoa	277	20.0	positive	N/A	aa	train
P27797	Homo sapiens	Metazoa	417	17.0	positive	N/A	ae	bench
P29460	Homo sapiens	Metazoa	328	22.0	positive	N/A	ab	train
P40967	Homo sapiens	Metazoa	661	24.0	positive	N/A	ae	train
P80370	Homo sapiens	Metazoa	383	23.0	positive	N/A	ac	train
P80748	Homo sapiens	Metazoa	117	17.0	positive	N/A	ab	bench
Q13478	Homo sapiens	Metazoa	541	18.0	positive	N/A	ab	bench
Q15465	Homo sapiens	Metazoa	462	23.0	positive	N/A	ac	train
Q15762	Homo sapiens	Metazoa	336	18.0	positive	N/A	ac	train
Q6UX39	Homo sapiens	Metazoa	209	16.0	positive	N/A	ac	bench
Q6UX46	Homo sapiens	Metazoa	152	24.0	positive	N/A	aa	train
