Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A0A1I6E7	reviewed	NDB4S_ANDCR	Antimicrobial peptide AcrAP1		Androctonus crassicauda (Arabian fat-tailed scorpion)	74
A0A0A1I6N9	reviewed	NDB4T_ANDCR	Antimicrobial peptide AcrAP2		Androctonus crassicauda (Arabian fat-tailed scorpion)	74
A0A0D1DWQ2	reviewed	CMU1_MYCMD	Secreted chorismate mutase (EC 5.4.99.5)	CMU1 UMAG_05731	Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis)	290
A0A1L6K371	reviewed	JUGN4_JUGNI	11S globulin (11S legumin) (allergen Jug n 4) [Cleaved into: 11S globulin acidic chain; 11S globulin basic chain]		Juglans nigra (Black walnut) (Wallia nigra)	510
A0A1S3PBB7	reviewed	KNG_SALSA	Kininogen [Cleaved into: Bradykinin]	LOC106584303	Salmo salar (Atlantic salmon)	375
A0A2I4E5L6	reviewed	VCL6_JUGRE	Vicilin Jug r 6.0101 (Allergen Jug r 6) (Vicilin Jug r 6) (allergen Jug r 6.0101)	LOC108986502	Juglans regia (English walnut)	502
A0A2L0ART2	reviewed	TXF1A_SCOMU	Mu-scoloptoxin(15)-Ssm1a (Mu-SLPTX(15)-Ssm1a) (Potassium channel toxin SsTx) (Ssm spooky toxin)		Scolopendra mutilans (Chinese red-headed centipede) (Scolopendra subspinipes mutilans)	76
A0A411EZW9	reviewed	PA21_AGKPL	Acidic phospholipase A2 AplTX-I (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Agkistrodon piscivorus leucostoma (Western cottonmouth) (Acontias leucostoma)	138
A0A482A9N4	reviewed	LP9A_TALVE	AA9 family lytic polysaccharide monooxygenase A (LPMO9A) (EC 1.14.99.56) (AA9 family lytic polysaccharide monooxygenase 1) (LPMO1) (Cellulase LPMO9A) (Endo-beta-1,4-glucanase LPMO9A) (Endoglucanase LPMO9A) (Glycosyl hydrolase 61 family protein LPMO9A)	lpmo1 LPMO9A	Talaromyces verruculosus (Penicillium verruculosum)	328
A0A5C2A2T2	reviewed	COP1_CONPU	Conodipine-P1 (Cdpi-P1) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Phospholipase A2) (PLA2) [Cleaved into: Conodipine-P1 alpha subunit; Conodipine-P1 beta subunit]		Conus purpurascens (Purple cone)	178
